"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","296-NE555P-ND","NE555P","IC OSC SINGLE TIMER 100KHZ 8-DIP","rim39","1","0","0.45000","0.45"
"2","2","PPC1.0KW-2CT-ND","PR02000201001JR500","RES 1K OHM 2W 5% AXIAL","rim39","2","0","0.43000","0.86"
